Time_s   F0_st__200_
16.007339   --undefined--
16.009682   --undefined--
16.012026   15.076974
16.014370   14.538940
16.016714   14.876462
16.019057   14.831312
16.021401   15.509242
16.023745   --undefined--
16.026089   --undefined--
16.028432   --undefined--
16.030776   --undefined--
16.033120   --undefined--
16.035464   --undefined--
16.037807   --undefined--
16.040151   --undefined--
16.042495   --undefined--
16.044839   --undefined--
16.047182   --undefined--
16.049526   --undefined--
16.051870   --undefined--
16.054214   --undefined--
16.056557   --undefined--
16.058901   --undefined--
16.061245   --undefined--
16.063589   --undefined--
16.065932   --undefined--
16.068276   --undefined--
16.070620   --undefined--
16.072964   --undefined--
16.075307   --undefined--
16.077651   --undefined--
16.079995   --undefined--
16.082339   --undefined--
16.084682   --undefined--
16.087026   --undefined--
16.089370   --undefined--
16.091714   --undefined--
16.094057   --undefined--
16.096401   --undefined--
16.098745   --undefined--
16.101089   --undefined--
16.103432   --undefined--
16.105776   --undefined--
16.108120   --undefined--
16.110464   27.745001
16.112807   25.880111
16.115151   22.710129
16.117495   22.169960
16.119839   21.402140
16.122182   --undefined--
16.124526   --undefined--
16.126870   --undefined--
16.129214   --undefined--
16.131557   --undefined--
16.133901   --undefined--
16.136245   --undefined--
16.138589   --undefined--
16.140932   --undefined--
16.143276   --undefined--
16.145620   --undefined--
16.147964   --undefined--
16.150307   --undefined--
16.152651   --undefined--
16.154995   --undefined--
16.157339   --undefined--
16.159682   --undefined--
16.162026   --undefined--
16.164370   --undefined--
16.166714   --undefined--
16.169057   --undefined--
16.171401   --undefined--
16.173745   --undefined--
16.176089   --undefined--
16.178432   --undefined--
16.180776   --undefined--
16.183120   --undefined--
16.185464   --undefined--
16.187807   --undefined--
16.190151   --undefined--
16.192495   --undefined--
16.194839   --undefined--
16.197182   --undefined--
16.199526   --undefined--
16.201870   --undefined--
16.204214   --undefined--
16.206557   --undefined--
16.208901   --undefined--
16.211245   --undefined--
16.213589   --undefined--
16.215932   --undefined--
16.218276   --undefined--
16.220620   --undefined--
16.222964   --undefined--
16.225307   --undefined--
16.227651   --undefined--
16.229995   22.414485
16.232339   22.192590
16.234682   21.316358
16.237026   --undefined--
16.239370   --undefined--
16.241714   --undefined--
16.244057   --undefined--
16.246401   --undefined--
16.248745   --undefined--
16.251089   --undefined--
16.253432   --undefined--
16.255776   --undefined--
16.258120   --undefined--
16.260464   --undefined--
16.262807   --undefined--
16.265151   --undefined--
16.267495   --undefined--
16.269839   --undefined--
16.272182   --undefined--
16.274526   --undefined--
16.276870   --undefined--
16.279214   --undefined--
16.281557   --undefined--
16.283901   --undefined--
16.286245   --undefined--
16.288589   --undefined--
16.290932   --undefined--
16.293276   --undefined--
16.295620   --undefined--
